Name,Number of epochs,Best checkpoint,Run ID,State,Notes,User,Tags,Created,Runtime,Sweep,ID,Group,Job Type,Updated,End Time,Hostname,Description,Commit,GitHub,GPU Count,GPU Type,misc.Normalization,misc.Rescaling,misc.misc,misc.mixup_alpha,train_cfg.base_lr,train_cfg.label_smoothing,train_cfg.log_dir,train_cfg.lr_schedule,train_cfg.model_dir,train_cfg.momentum,train_cfg.optimizer,train_cfg.total_epochs,train_cfg.warmup_epochs,train_cfg.warmup_factor,train_cfg.weight_decay,train_prep.area_factor,train_prep.augment_fn,train_prep.batch_size,train_prep.color_jitter,train_prep.crop_size,train_prep.image_size,train_prep.mixup,train_prep.mixup_alpha,train_prep.num_classes,train_prep.resize_pre_crop,val_prep.area_factor,val_prep.augment_fn,val_prep.batch_size,val_prep.color_jitter,val_prep.crop_size,val_prep.image_size,val_prep.mixup,val_prep.mixup_alpha,val_prep.num_classes,val_prep.resize_pre_crop,accuracy,best_epoch,best_val_loss,epoch,loss,lr,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
regnetx120_11_08_2021_08h31m23s,18 - 100,gs://ak-us-train/models/11_08_2021_08h31m23s/all_model_epoch_97,11_08_2021_08h31m23s,finished,-,compyle,final,2021-11-08T08:31:24.000Z,80783,,18e9be93,,train,2021-11-09T10:23:00.000Z,2021-11-09T06:57:47.000Z,ak-us-tpu-6,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.3,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7664946914,94,0.8598448038,99,1.650521994,0.000001973867484,0.9126654863,0.7856944203,0.9518423676,0.9442563057
regnetx160_11_08_2021_08h31m15s,19 - 22,-,11_08_2021_08h31m15s,failed,-,compyle,final,2021-11-08T08:31:16.000Z,5032,,8x591jal,,train,2022-01-04T14:57:50.000Z,2021-11-08T09:55:08.000Z,ak-us-tpu-7,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.6247238517,21,1.252452374,22,2.433577299,0.00708205346,0.8200800419,0.6911870837,1.279038548,0.8898876309
regnetx160_11_08_2021_11h07m38s,22 - 31,-,11_08_2021_11h07m38s,finished,-,compyle,final,2021-11-08T11:07:39.000Z,15550,,3298fflh,,train,2022-01-04T14:57:49.000Z,2021-11-08T15:26:49.000Z,ak-us-tpu-7,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.636960566,29,1.13850069,31,2.317656279,0.006248333957,0.8294790983,0.7268614769,1.169159532,0.9096381664
regnetx160_11_08_2021_15h41m36s,31 - 38,-,11_08_2021_15h41m36s,finished,-,compyle,final,2021-11-08T15:41:37.000Z,22798,,34waugpr,,train,2022-01-04T14:57:47.000Z,2021-11-08T22:01:35.000Z,ak-us-tpu-7,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.6442153454,38,1.116648674,38,2.296699524,0.005472498015,0.8358181715,0.7330796123,1.116648674,0.9131059051
regnetx160_11_09_2021_08h26m58s,38 - 85,-,11_09_2021_08h26m58s,finished,-,compyle,final,2021-11-09T08:27:00.000Z,66373,,3kh75m76,,train,2022-01-04T14:57:45.000Z,2021-11-10T02:53:13.000Z,ak-us-tpu-6,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.3,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7592180371,82,0.9128789306,85,1.581639409,0.0004359741288,0.911013484,0.7804528475,0.9325214028,0.939632535
regnetx160_11_10_2021_02h57m02s,85 - 91,-,11_10_2021_02h57m02s,finished,-,compyle,final,2021-11-10T02:57:03.000Z,9349,,16gj5c7f,,train,2022-01-04T14:57:44.000Z,2021-11-10T05:32:52.000Z,ak-us-tpu-6,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.3,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7724328637,91,0.8396888375,91,1.52905941,0.000158825409,0.9183610678,0.7909559011,0.8396888375,0.9457908869
regnetx160_11_10_2021_08h31m37s,91 - 93,-,11_10_2021_08h31m37s,finished,-,compyle,final,2021-11-10T08:31:38.000Z,8678,,2mk9q4r2,,train,2022-01-04T14:58:25.000Z,2021-11-10T10:56:16.000Z,ak-us-tpu-6,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7560161352,93,0.9181351066,93,1.666622281,0.00009633303125,0.9108402729,0.7908961177,0.9181351066,0.9473454356
regnetx160_11_10_2021_11h05m01s,93 - 100,gs://ak-us-train/models/11_10_2021_11h05m01s/all_model_epoch_96,11_10_2021_11h05m01s,finished,-,compyle,final,2021-11-10T11:05:02.000Z,7974,,2ta0g4qp,,train,2021-12-10T19:25:37.000Z,2021-11-10T13:17:56.000Z,ak-us-tpu-6,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7536332607,95,0.8482748866,99,1.805247068,0.000001973867484,0.9081212282,0.7886639833,0.9999777079,0.9466478825
regnetx320_11_07_2021_17h36m12s,0 - 59,-,11_07_2021_17h36m12s,finished,-,compyle,final,2021-11-07T17:36:13.000Z,87732,,11my9w9e,,train,2022-01-04T15:18:04.000Z,2021-11-08T17:58:25.000Z,ak-us-tpu-8,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7057884932,52,1.038074374,59,1.921700954,0.002884035697,0.8823948503,0.7473095059,1.067527175,0.9213768244
regnetx320_11_08_2021_18h01m47s,59 - 66,-,11_08_2021_18h01m47s,finished,-,compyle,final,2021-11-08T18:01:48.000Z,14374,,3v15fbya,,train,2022-01-04T15:18:04.000Z,2021-11-08T22:01:22.000Z,ak-us-tpu-8,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7182328701,60,0.9991292357,66,1.822566509,0.00207298575,0.8905516863,0.7651666403,1.016948223,0.931800127
